Point,ID,Year,Visit,Time,Date,Weather,Wind
11-2,20,2015,1,8:39,5/3/15,1,0
11-3,21,2015,1,8:55,5/3/15,1,0
12-1,22,2015,1,9:12,5/3/15,1,0
12-2,23,2015,1,9:27,5/3/15,1,1
13-1,24,2015,1,9:55,5/2/15,0,0
14-1,25,2015,1,9:00,5/2/15,0,0
15-1,26,2015,1,9:24,5/2/15,0,0
16-1,27,2015,1,6:26,5/2/16,2,0
16-2,28,2015,1,6:11,5/2/15,2,1
22-1,29,2015,1,7:07,5/10/15,4,0
23-1,30,2015,1,7:48,5/10/15,2,0
23-2,31,2015,1,7:32,5/10/15,2,0
24-1,32,2015,1,8:10,5/10/15,2,0
25-1,33,2015,1,7:59,5/22/15,0,3
26-1,34,2015,1,6:26,5/9/15,2,0
28-1,35,2015,1,7:05,5/9/15,2,0
29-1,36,2015,1,7:11,5/27/15,2,1
30-1,37,2015,1,5:43,5/22/15,0,0
32-1,38,2015,1,6:16,5/22/15,0,0
34-1,39,2015,1,7:05,5/2/15,2,0
35-1,40,2015,1,6:43,5/2/15,2,0
36-1,41,2015,1,9:42,5/2/15,0,0
68-1,42,2015,1,7:42,5/2/15,0,0
44-1,43,2015,1,8:12,5/2/15,0,0
43-1,44,2015,1,6:29,5/3/15,1,0
41-1,45,2015,1,7:14,5/3/15,1,0
42b-1,46,2015,1,7:35,5/3/15,1,0
42a-1,47,2015,1,7:53,5/3/15,1,0
72-1,48,2015,1,7:14,5/20/15,0,1
73-1,49,2015,1,7:39,5/20/15,0,2
48-1,50,2015,1,8:32,5/20/15,2,3
65-1,51,2015,1,7:08,5/22/15,0,0
71-1,52,2015,1,8:21,5/22/15,0,2
70-1,53,2015,1,8:47,5/22/15,0,2
55-1,54,2015,1,9:18,5/22/15,0,2
51-1,55,2015,1,5:51,5/26/15,0,0
49-1,57,2015,1,8:44,5/26/15,0,0
49-2,58,2015,1,9:11,5/26/15,0,2
59-2,59,2015,1,5:48,5/27/15,2,0
59-1,60,2015,1,6:25,5/27/15,2,0
60-1,61,2015,1,7:53,5/27/15,2,0
61-1,62,2015,1,8:20,5/27/15,2,1
66b-1,63,2015,1,9:05,5/27/15,2,0
66a-1,64,2015,1,6:05,5/28/15,2,0
66a-2,65,2015,1,6:35,5/28/15,2,0
50a,66,2015,1,7:42,5/28/15,2,0
74-1,68,2015,1,9:36,5/28/15,2,0
74-2,69,2015,1,9:53,5/28/15,2,1
64b-1,70,2015,1,6:02,5/29/15,2,0
64a-1,71,2015,1,6:26,5/29/15,0,0
63-1,72,2015,1,6:54,5/29/15,0,0
62ab-1,73,2015,1,7:32,5/29/15,0,0
47e-1,74,2015,1,6:10,6/4/15,2,1
47d-1,75,2015,1,6:48,6/4/15,2,2
47c-1,76,2015,1,7:33,6/4/15,2,2
47a-1,77,2015,1,8:23,6/4/15,2,2
52-1,78,2015,1,7:20,6/5/15,2,0
52-2,79,2015,1,8:02,6/5/15,5,0
1-1,1,2015,2,8:37,6/23/15,0,2
2a-1,2,2015,2,5:50,6/17/15,0,0
2b-1,3,2015,2,8:22,6/23/15,0,1
2c-1,4,2015,2,7:46,6/23/15,0,1
2d-1,5,2015,2,7:59,6/23/15,0,1
3-1,6,2015,2,6:05,6/12/15,4,0
3-2,7,2015,2,5:40,6/12/15,4,0
4-1,8,2015,2,8:36,6/11/15,1,1
5-1,9,2015,2,9:01,6/12/15,0,1
6-1,10,2015,2,5:38,6/25/15,4,0
6-2,11,2015,2,5:54,6/25/15,4,0
6-3,12,2015,2,6:11,6/25/15,0,0
7-1,13,2015,2,9:23,6/12/15,0,2
8-1,14,2015,2,8:32,6/12/15,0,0
8-2,15,2015,2,8:14,6/12/15,0,0
8-3,16,2015,2,7:58,6/12/15,0,0
9-1,17,2015,2,9:18,6/11/15,1,1
10-1,18,2015,2,8:57,6/11/15,2,2
11-1,19,2015,2,7:55,6/11/15,1,2
11-2,20,2015,2,7:36,6/11/15,2,2
11-3,21,2015,2,7:16,6/11/15,1,0
12-1,22,2015,2,6:59,6/11/15,1,0
12-2,23,2015,2,6:42,6/11/15,1,0
13-1,24,2015,2,5:46,6/10/15,0,0
14-1,25,2015,2,6:27,6/10/15,0,0
15-1,26,2015,2,6:47,6/10/15,0,0
16-1,27,2015,2,7:30,6/10/15,0,0
16-2,28,2015,2,7:10,6/10/15,0,0
22-1,29,2015,2,7:30,6/12/15,0,0
23-1,30,2015,2,6:44,6/12/15,1,0
23-2,31,2015,2,6:27,6/12/15,1,0
24-1,32,2015,2,7:06,6/12/15,0,0
25-1,33,2015,2,5:53,6/14/15,0,0
26-1,34,2015,2,8:21,7/2/15,1,0
28-1,35,2015,2,5:49,6/18/15,2,1
29-1,36,2015,2,8:00,6/24/15,0,2
30-1,37,2015,2,9:15,6/23/15,0,2
32-1,38,2015,2,7:27,6/24/15,0,2
34-1,39,2015,2,8:19,6/11/15,1,2
35-1,40,2015,2,7:48,6/10/15,0,0
36-1,41,2015,2,6:04,6/10/15,0,0
68-1,42,2015,2,5:49,6/11/15,1,1
44-1,43,2015,2,6:08,6/11/15,1,1
43-1,44,2015,2,9:37,6/11/15,1,2
41-1,45,2015,2,8:14,6/17/15,0,1
42b-1,46,2015,2,7:48,6/17/15,0,1
42a-1,47,2015,2,7:17,6/17/15,0,0
72-1,48,2015,2,9:24,6/17/15,0,2
73-1,49,2015,2,9:03,6/17/15,0,1
48-1,50,2015,2,7:16,6/23/15,0,1
65-1,51,2015,2,8:26,6/30/15,1,0
71-1,52,2015,2,6:12,6/24/15,0,0
70-1,53,2015,2,6:39,6/24/15,0,0
55-1,54,2015,2,7:01,6/24/15,0,0
51-1,55,2015,2,5:48,7/10/15,1,0
49-1,57,2015,2,7:10,6/25/15,0,0
49-2,58,2015,2,7:40,6/25/15,0,0
59-2,59,2015,2,8:42,6/24/15,0,0
59-1,60,2015,2,9:18,6/24/15,0,1
60-1,61,2015,2,6:41,6/23/15,0,0
61-1,62,2015,2,6:07,6/23/15,0,0
66b-1,63,2015,2,6:14,6/30/15,2,0
66a-1,64,2015,2,8:56,6/30/15,2,0
66a-2,65,2015,2,9:20,6/30/15,2,0
50a,66,2015,2,7:02,6/30/15,2,0
74-1,68,2015,2,6:43,6/17/15,0,0
74-2,69,2015,2,6:17,6/17/15,0,0
64b-1,70,2015,2,8:16,6/25/15,0,0
64a-1,71,2015,2,8:44,6/25/15,0,0
63-1,72,2015,2,9:08,6/25/15,0,0
62ab-1,73,2015,2,7:53,7/2/15,1,0
47e-1,74,2015,2,7:13,7/2/15,1,0
47d-1,75,2015,2,6:48,7/2/15,1,0
47c-1,76,2015,2,6:21,7/2/15,1,0
47a-1,77,2015,2,5:46,7/2/15,1,0
52-1,78,2015,2,6:56,7/10/15,1,0
52-2,79,2015,2,7:36,7/10/15,1,2
